"resp","response_token","timestamp","fu_json","p3q1","p3q2","p3q3","p3q3a","p3q4","p3q5","p3q6","p3q7","p3q8","p3q9","p3q10","p3q11","p3q12","p3q13","p3q14","p3q15","p3q16a","p3q16b","p3q16c","p3q16d","p3q16e","p3q16f","p3q16g","p3q16h","p3q16i","p3q16j","p3q16k","p3q16l","p3q16m","p3q16n","p3q16o","p3q16p","p3q17a","p3q17b","p3q17c","p3q17d","p3q17e","p3q17f","p3q17g","p3q17h","p3q17i","p3q17j","p3q17k","p3q18","p3q19","p3q20","p3q21","p3q22","p3q23","p3q24","p3q25","p3q26","p3q27","p3q28","p3q29","p3q30","p3q31a","p3q31b","p3q31c","p3q31d","p3q31e","p3q31f","p3q31g","p3q31h","p3q31i","p3q31j","p3q31k","p3q31l","p3q31m","p3q31n","p3q31o","p3q31p","p3q31q","p3q32a","p3q32b","p3q32c","p3q32d","p3q32e","p3q32f","p3q32g","p3q32h","p3q32i","p3q32j","p3q32k","p3q33","p3q34a","p3q34b","p3q34c","p3q34d","p3q34e","p3q34f","p3q34g","p3q34h","p3q34i","p3q34j","p3q34k","p3q34l","p3q34m","p3q34n","p3q34o"
"27","77759f5dc3e0e2b98b8373bbb4e6fa7296c022c923b3a9d4afe3a276be26ab2c","1431540592",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"28","95735fb3d718afd10e8be1423849a444df3a38ab2c3c7d43b5c42840c0c7423c","1431540676",,"NANS","NANS","NANS","NANS","10_100","no","19","2","NANS","bought_friends,given_friends,MIT_FSILG_parties,off_campus,parents","MIT_FSILG_parties","beer","3_10","3_10","no","elsewhere_socializing","yes","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","never","once","never","never","never","never","never","never","never","once","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"29","900d1e20148ddf54ee4334116f304e9fea9e1f5f157cb11dd380f927c9432636","1431540807",,"NANS","NANS","NANS","NANS","3_10","yes","19","1","NANS","bought_friends,given_friends,MIT_FSILG_parties,unregistered_parties","bought_friends","liquor","never","10_100","no","at_lg_socializing","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","never","twice","never","never","never","never","never","never","never","never","never","once","bong","given_friends","19","1","yes","at_lg_socializing","no","no","no","bong","given_friends","NANS","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"30","a153efde2c15cad664b0e770c8f3f5088131718a5eeb419f0b4abbb6219d5be9","1431540868",,"NANS","NANS","NANS","NANS","3_10","NANS","NANS","NANS","NANS","given_friends,MIT_FSILG_parties,off_campus,student_group_events,parents","given_friends","wine","never","never","no","at_lg_socializing","yes","no","yes","no","yes","yes","no","no","no","no","no","no","no","yes","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"31","8fefa839024a343ee8611263895c6dd7f23b3932f621ccb894d22b53d4e3dad0","1431540904",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"32","9475bc99ab053c530951036de71521495cf9559afa4c89fe4e4e63c408cc369b","1431540909",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"33","2a9c302278df92820253041ef6ab42e2547ce2bfa10e06ea42ac237a765843f5","1431540941","caffeine_with_alcohol=yes","10_100","no","no","NANS","gt100","yes","18","1","NANS","bought_friends,given_friends,MIT_FSILG_parties,unregistered_parties,official_parties,parents,no_id","bought_friends","liquor","10_100","10_100","no","alone","yes","no","yes","yes","no","yes","no","yes","yes","yes","no","no","no","yes","yes","yes","ge3","ge3","once","never","never","never","never","never","never","ge3","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"34","e3a1f59ed15c55a852c5f3c43fc6836082437aab1916ab94318b14851357ca54","1431541026",,"NANS","NANS","NANS","NANS","10_100","yes","19","1","NANS","bought_friends,given_friends,non_MIT_FSILG_party,parents","given_friends","high_alc","once","never","no","elsewhere_socializing","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","never","once","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"35","54c18f13c7310a2f07a4e6edb89e6d980258158e093022aebd0ee88e45d2bd38","1431541082",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"36","c1c22be89e5e2db698c06bd6fe8e673593eb100e1cac949ee21d86faa2dd7fbe","1431541098",,"once","yes","no","NANS","10_100","NANS","NANS","NANS","NANS","given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,official_parties","MIT_FSILG_parties","liquor","twice","10_100","no","others_parties","yes","no","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","no","never","twice","never","never","never","never","never","never","never","once","never","twice","joint,bowl","given_friends","18","1","yes","elsewhere_socializing","no","no","yes","joint","given_friends","NANS","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"37","a261f21cf27bc66ebbeb36233572d9d1de0c3022f88cb398713cc63026bb7e33","1431541099","caffeine_with_alcohol=yes&whippits_amount=3_5&psychedelics_trip_sitter=sometimes&psychedelics_bad_trip=never&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=no&psychedelics_reasonsd=no&psychedelics_reasonse=yes&psychedelics_reasonsf=yes&psychedelics_reasonsh=no&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=no&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=bought_friends_MIT%2Cbought_non_MIT&lsd_obtained=bought_friends_MIT%2Cgiven_friends&lsd_dose=50_150&presc_stim_use_past_12=not_past_12&presc_stim_prescribed=no&presc_stim_form=crushed_oral&presc_stim_obtained=bought_friends_MIT&presc_stim_source_prescribed=yes&presc_stim_academic_use=yes_effective&presc_stim_with_alcohol=no","10_100","yes","no","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties,parents,no_id,other_id","bought_friends","liquor","10_100","10_100","no","my_parties","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","never","twice","once","never","never","never","never","once","never","twice","never","10_100","joint,blunt,bowl,bong,improvised,vaporizer,edible","bought_non_MIT,given_friends","NANS","NANS","NANS","at_lg_socializing","no","no","no","bowl","bought_non_MIT","NANS","yes","no","NANS","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","once","twice","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"38","44ccc2bf3395e975f201f384312c014038f119903b88c444da53cfc6195a92f0","1431541109",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,unregistered_parties,fake_id","fake_id","liquor","3_10","once","no","my_parties","no","no","yes","yes","yes","yes","no","no","yes","no","no","no","yes","yes","yes","no","ge3","ge3","twice","never","once","never","never","never","once","once","once","twice","edible","given_friends","20","2","yes","at_lg_socializing","no","no","yes","edible","given_friends","NANS","yes","no","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","yes","no","NANS","ge3","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"39","804404bb7c10a4e903df0b2ee6ed3fb6771343da52651ddd673a14a84526bc6f","1431541140",,"NANS","NANS","NANS","NANS","twice","NANS","NANS","NANS","NANS","NANS","NANS","NANS","never","twice","no","NANS","no","no","no","no","no","yes","NANS","no","no","no","no","no","no","yes","unsure","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"40","9b4c8bd05116855f87bdd029901358374512116fde17b9ca5c3be313d01cdca8","1431541179",,"NANS","NANS","NANS","NANS","twice","NANS","NANS","NANS","NANS","given_friends,parents","parents","wine","never","never","no","others_parties","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"41","8c8c69b3870c853f7b380fc7bcad0812dd0328f7567f99e3bec81a67f6c856d8","1431541200","whippits_amount=3_5","10_100","yes","no","NANS","once","NANS","NANS","NANS","NANS","given_friends,official_parties","official_parties","beer","3_10","3_10","no","my_parties","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","3_10","joint,blunt,bowl,vaporizer,edible","given_friends","19","3","yes","other","no","yes","yes","vaporizer","given_friends","NANS","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","NANS","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"42","13926aa0412ccce40b23a7cd587bd7dfa40f4c0fcb4ccee170a4f38f4fa41b07","1431541237","caffeine_with_alcohol=no","NANS","NANS","NANS","NANS","3_10","NANS","NANS","NANS","NANS","bought_friends,given_friends","bought_friends","liquor","twice","once","no","at_lg_socializing","no","no","yes","yes","no","yes","no","yes","no","no","no","no","no","no","yes","no","never","once","never","never","never","never","never","never","never","once","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"43","7fbfa27d16d424cd91b56d75f453a2c997c787911f8bb103c9051855d60b31fa","1431541265",,"NANS","NANS","NANS","NANS","once","yes","21","3","NANS","NANS","NANS","other","never","never","no","my_parties","no","no","no","no","no","yes","no","no","no","no","NANS","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"44","506462d3f4428e45eac66651f78dc216cb06b0ba13db96f0a5b8d52a78361695","1431541393",,"NANS","NANS","NANS","NANS","3_10","yes","18","1","NANS","given_friends,official_parties","given_friends","high_alc","never","never","no","my_parties","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"45","65291eaba478c31f2eb0452a64b65b7204016b3d02bd5fba53ac5f728ea9786a","1431541460",,"NANS","NANS","NANS","NANS","3_10","yes","18","1","NANS","MIT_FSILG_parties","MIT_FSILG_parties","beer","once","3_10","no","my_parties","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"46","1d0e9fb8da2309995fd77d9c69d25c23d78c7a2d309f5a0d3cbde50cc5a34a7a","1431541478",,"NANS","NANS","NANS","NANS","10_100","no","19","2","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,parents,lower_drinking_age","bought_friends","liquor","twice","twice","no","at_lg_socializing","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","never","twice","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"47","157be3d862ca70be56d6f342fda566157a01cd9908aa2f089b9a43b3927a94bc","1431541578",,"NANS","NANS","NANS","NANS","10_100","yes","18","1","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,unregistered_parties,lower_drinking_age","MIT_FSILG_parties","high_alc","3_10","3_10","no","my_parties","no","no","yes","yes","yes","yes","no","yes","yes","no","no","no","no","yes","yes","no","once","twice","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"48","1a5b9620323fd1b2b3048c5849cfd54e77495c5ef76776d177311677984d43bc","1431541583",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"49","4ae2cc2112d7e066d5e6aad2109bbf2b7c7b8806f4c34894a5b77185b6bc8818","1431541634","whippits_amount=le1","3_10","no","no","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,unregistered_parties","MIT_FSILG_parties","high_alc","10_100","10_100","no","others_parties","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","never","ge3","never","never","never","never","never","never","never","never","never","3_10","joint,bowl,edible","bought_friends_MIT,MIT_FSILG_parties,given_friends","19","1","no","others_parties","no","no","unsure","edible","bought_friends_MIT","NANS","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","no","never","once","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
