"resp","response_token","timestamp","p2q1","p2q2","p2q3","p2q4","p2q5","p2q6","p2q7a","p2q7b","p2q7c","p2q7d","p2q7e","p2q7f","p2q7g","p2q8a","p2q8b","p2q8c","p2q8d","p2q8e","p2q8f","p2q8g","p2q9","p2q10","p2q11","p2q12","p2q13","p2q14a","p2q14b","p2q14c","p2q15a","p2q16","p2q16a","p2q16b","p2q16c","p2q16d","p2q16e","p2q17","p2q17a","p2q17b","p2q17c","p2q17d","p2q17e","p2q18a","p2q18b","p2q19a","p2q19b","p2q19c","p2q19d","p2q19e","p2q19f","p2q20","p2q20a","p2q20b","p2q20c","p2q20d","p2q20e","p2q20f","p2q20g","p2q21","p2q21a","p2q21b","p2q21c","p2q21d","p2q21e","p2q21f","p2q22","p2q22a","p2q22b","p2q22c","p2q22d","p2q22e","p2q22f","p2q23","p2q23a","p2q23b","p2q23c","p2q23d","p2q23e","p2q24a","p2q24b","p2q25a","p2q25b","p2q25c","p2q25d","p2q26"
"1203","27d783666491b0744a1f58173c87bd356b7fa3d3e62e543d7f81186dfe5e836b","1431979292","yes_def","think_so","adequate","neither","unconf","once","neg","very_neg","sli_neg","very_neg","sli_neg","neg","very_neg","neg","very_neg","sli_neg","sli_neg","neutral","neg","very_neg","no","no","twice","forums,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,other_users,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1204","a0b1f7e43cd8d6c2cba89a55d4dc7a0244fb1426513c20b311daefc0bd8d4cb2","1431979735","no","no","adequate","neither","neither","never","very_neg","very_neg","neg","very_neg","very_neg","neg","very_neg","neutral","neg","neutral","neg","sli_neg","neutral","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1205","ba9ebc0db6e5f586078f821a64a95f802d6abeb01f6a36de8407825d427db3d3","1431981592","yes_def","no","comprehensive","unconf","unconf","never","slightly_pos","neg","slightly_pos","sli_neg","neg","ver_pos","neutral","sli_neg","very_neg","neutral","sli_neg","neg","neutral","sli_neg","no","no","never","none,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,ld50,cost,avail,other_users,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1206","a95f7c858b537b662f9af29e180845e3f974b85693ca460a2ee061771676f186","1431982732","no","no","inadequate","v_unconf","v_unconf","never","neg","very_neg","neg","neg","neg","neg","very_neg","neg","neg","neg","neg","neg","neg","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1207","b818055fc93ddcd2cf06e3cef2b3357f999becf120c0c6ed9d422c4332b0fb05","1431982923","yes_def","yes_def","unsure","unconf","unconf","never","sli_neg","very_neg","sli_neg","sli_neg","neg","neutral","neg","sli_neg","neg","neutral","neutral","sli_neg","sli_neg","neg","no","no","never","never_cons,gen_sources","main_effects,short_term_se,long_term_se,phys_add,psy_add","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1208","068996758e5919fd926cb6ed31ed4c278886098509e62d10084a95908b7829f3","1431984853","yes_def","unsure","adequate","not_sure","not_sure","never","neg","NANS","very_neg","very_neg","very_neg","sli_neg","very_neg","neutral","neutral","neutral","neutral","neutral","neutral","neutral","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1209","ab503793b6c7229c9d68a43d3be755a995b786436a5ac6cfe516d9e17fdea537","1431986110","yes_def","no","unsure","neither","v_unconf","never","very_neg","very_neg","neg","very_neg","very_neg","neutral","neutral","neg","neg","neutral","neutral","neg","neg","neg","no","no","never","gen_sources,other_undergrads,doctor","main_effects,short_term_se,long_term_se,phys_add,psy_add,avail,other_users","never","never","never","never","yes","3_10","never","never","never","never","yes","once","never","never","never","never","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1210","cbe1c3dd6eedef9287f6e25e93df7099b1b59424496808db72eaeb049111e7de","1431989105","yes_def","yes_def","inadequate","conf","unconf","twice","sli_neg","neg","sli_neg","neg","neg","slightly_pos","neutral","neg","neg","neutral","sli_neg","very_neg","sli_neg","neg","unsure","no","ge3","forums,online_like_erowid,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,cost,other_users,others_perc","never","never","never","never","yes","3_10","never","never","never","once","yes","twice","never","never","never","never","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1211","6ac91c152a58f92d6ff32f3244b727799be69e3e6a3dfb122f82f1f8b0c74d6d","1431989851","yes_def","yes_def","inadequate","unconf","unconf","once","neutral","neg","neutral","neg","sli_neg","ver_pos","very_neg","neg","very_neg","neg","very_neg","neg","neg","very_neg","yes_def","no","ge3","forums,online_like_erowid,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,avail,other_users,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","yes","once","never","never","never","never","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1212","738b20c678347dfc6dae07f3f7635ede3bcdf3bf7cab50ccd41d5d9a56ab3bf8","1431991867","yes_def","yes_def","adequate","conf","conf","never","slightly_pos","sli_neg","neg","neg","very_neg","slightly_pos","neutral","very_neg","very_neg","neg","neg","very_neg","neg","very_neg","think_so","no","ge3","forums,online_like_erowid,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,avail,other_users","3_10","never","never","never","yes","3_10","never","never","never","never","yes","3_10","3_10","once","never","twice","never","never","once","never","never","3_10","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","twice","never","never","no"
"1213","349893a68946036130a4a35247aeeeccd3d663746bc223a4dbfb30944a418067","1431995028","unsure","no","inadequate","unconf","v_unconf","never","sli_neg","very_neg","sli_neg","sli_neg","neg","sli_neg","neg","neg","very_neg","neg","very_neg","very_neg","neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1214","aa2310536b0a07bf2ba18782bcf0513d6ee8dbd35607cb68cbfae148a7aa0e4d","1431995963","yes_def","unsure","unsure","unconf","v_unconf","never","very_neg","very_neg","neg","very_neg","neg","very_neg","very_neg","very_neg","very_neg","neg","very_neg","neg","neutral","neg","think_so","no","ge3","never_cons","never_cons","never","never","never","never","yes","once","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1215","ec7846f083975acdb00aeca99be7556afa3838c252128f109a1a3bb88a982772","1431997440","yes_def","no","adequate","v_unconf","v_unconf","never","very_neg","very_neg","very_neg","neutral","neutral","very_neg","very_neg","very_neg","very_neg","sli_neg","neg","neg","very_neg","very_neg","unsure","no","never","never_cons","other","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1216","33efc32dd08ba56bdcbedfe99a0ef9bdb36f942c36c81e71ceb65d8f3652e118","1432000822","yes_def","think_so","inadequate","unconf","unconf","never","neg","very_neg","sli_neg","neg","neg","sli_neg","neg","neg","very_neg","slightly_pos","neutral","very_neg","neutral","sli_neg","think_so","no","twice","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1217","25881bd3c8d89bb130aff96fd831f67826fce63f090555687283afaff8538202","1432003067","yes_def","yes_def","severely_inadequate","v_unconf","v_unconf","once","very_neg","very_neg","sli_neg","neg","sli_neg","sli_neg","neg","sli_neg","neg","sli_neg","very_neg","very_neg","neg","neg","think_so","no","never","forums,online_like_erowid,gen_sources,other_undergrads,other","main_effects,short_term_se,long_term_se,phys_add,psy_add,others_perc","never","never","never","never","yes","twice","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","once","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","yes"
"1218","1c628ce6b3f466898c4b21aaf28fce02d8a2d856bc8417276e021914c3adff9f","1432003274","no","no","unsure","neither","neither","never","sli_neg","very_neg","sli_neg","sli_neg","very_neg","sli_neg","very_neg","neg","very_neg","neg","neg","neg","neg","very_neg","no","no","never","never_cons,forums,online_like_erowid,gen_sources,doctor","never_cons,main_effects,short_term_se,long_term_se,phys_add,psy_add,ld50,cost,avail,other_users,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1219","f3a0340e52e7d172961f2f5708d713c4b2956a12c84efbf2f5572d826c4e8d1d","1432008373","yes_def","no","comprehensive","conf","neither","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","neg","neg","neg","neutral","neutral","sli_neg","neg","yes_def","no","once","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1220","8d7951a5dde38e2d0e9b08817edbf28cfe6efc393fb1d468b1aa7310012d24c8","1432010516","yes_def","no","severely_inadequate","v_unconf","v_unconf","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","neg","neg","neg","neg","neg","neg","neg","yes_def","no","ge3","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1221","67d98132f6e3fed9f08c6a2714b6b7e10152a31818f7dc26e7998aa595e07c73","1432015954","yes_def","yes_def","inadequate","neither","unconf","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","think_so","no","once","other_undergrads,other","main_effects,short_term_se,long_term_se,phys_add,others_perc","NANS","NANS","NANS","NANS","yes","3_10","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1222","d79d2a9b17e5d3033162da1523f771e8eb6528ef98c9bfe2e935c230a6a12e6f","1432023373","no","think_so","inadequate","unconf","unconf","never","neg","very_neg","neg","very_neg","very_neg","very_neg","very_neg","sli_neg","neg","sli_neg","neg","neg","neg","neg","no","no","never","gen_sources,other_undergrads","NANS","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1223","393bcb91343c7c913cc22247a5aeea605051943644be8f7fdfa8e1aade22729b","1432048217","yes_def","yes_def","unsure","unconf","v_unconf","never","neutral","sli_neg","sli_neg","sli_neg","neg","pos","neutral","sli_neg","sli_neg","neg","neg","sli_neg","sli_neg","sli_neg","no","no","never","forums,online_like_erowid,gen_sources,other_undergrads","long_term_se,phys_add,ld50","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1224","17717b38427d44ad4d825e6a290064b9580671f0a79fa8c49cf3ddc80a5a3850","1432055891","no","no","inadequate","v_unconf","v_unconf","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","neg","neg","neg","very_neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1225","e26e416cf4258159b802e399077d64be478b84f89929f56acb0b9388e9c5157d","1432061069","unsure","unsure","adequate","unconf","unconf","never","very_neg","very_neg","very_neg","very_neg","neg","very_neg","very_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","unsure","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1226","3540e8398163fef59059e4f1c6f167d91060f3225dec6e28a26b393f7d19d196","1432066045","yes_def","yes_def","inadequate","v_unconf","v_unconf","never","neg","very_neg","neg","neg","very_neg","very_neg","very_neg","neg","very_neg","sli_neg","sli_neg","neg","neg","very_neg","no","no","once","never_cons,forums,online_like_erowid,gen_sources,other_undergrads","never_cons,main_effects,short_term_se,long_term_se,phys_add,psy_add,other_users","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1227","70b010b5336e241ab0454bb8a17a532e3aeaa20d61b4dbd6a900eefb9ffabf16","1432067218","yes_def","no","adequate","conf","unconf","never","neg","very_neg","neg","very_neg","very_neg","slightly_pos","sli_neg","very_neg","very_neg","very_neg","very_neg","very_neg","neg","neg","no","no","once","online_like_erowid,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,cost,avail,other_users,others_perc","once","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","once","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1228","8962381428b7b19a605fa527cf99e046858ad4846705e9b0f6a7234f20afc4ec","1432073986","yes_def","yes_def","unsure","unconf","v_unconf","never","sli_neg","neg","neg","very_neg","neg","neg","very_neg","neg","neg","neg","very_neg","neg","neg","neg","no","no","never","never_cons,other_undergrads","never_cons","never","never","never","never","yes","3_10","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1229","adb6acbadee54b1e65e6e56dd8c2e6757133bf403b66ad2a66ad9d2433e74522","1432074466","no","no","inadequate","v_unconf","v_unconf","never","very_neg","very_neg","very_neg","very_neg","neg","very_neg","very_neg","neg","very_neg","neg","neg","neutral","neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1230","dae5cdf146de5618f6289d40cd495abc972523e73b7a557b270bc2a53256d6a6","1432088823","yes_def","yes_def","inadequate","v_unconf","v_unconf","never","neg","very_neg","very_neg","very_neg","very_neg","slightly_pos","very_neg","neg","neg","pos","slightly_pos","very_neg","ver_pos","neg","think_so","no","twice","online_like_erowid,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,avail,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1231","5dedf9d5488cd94342138c5548336a61a32efe3d5fe5487bff98e6b04fd70153","1432094046","yes_def","yes_def","adequate","neither","neither","never","neutral","very_neg","neutral","neutral","neutral","neutral","very_neg","sli_neg","very_neg","sli_neg","sli_neg","sli_neg","sli_neg","very_neg","no","no","ge3","other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,cost,avail,other_users","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1232","6c679975af1fcc20e647250ac19b1de31770973d3994e2570c74b526256ee57f","1432144827","no","no","unsure","v_unconf","v_unconf","never","neg","very_neg","sli_neg","very_neg","sli_neg","sli_neg","neg","neutral","neg","sli_neg","neg","neutral","neutral","sli_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1233","48281b6ed6be955bd76fe4dd2e3b85b43711015b7771cb46b1299bd192b6cb61","1432146563","no","no","adequate","unconf","unconf","once","neg","very_neg","neutral","sli_neg","neg","neutral","very_neg","sli_neg","neg","sli_neg","neg","sli_neg","sli_neg","neg","no","no","never","forums,gen_sources","short_term_se,other","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1234","aa393800879144f7c8851e6c77b34c27e8d5d78bc4b0557e84b60998f036e702","1432149631","yes_def","think_so","inadequate","unconf","v_unconf","never","neg","very_neg","sli_neg","neg","neg","sli_neg","very_neg","neg","very_neg","sli_neg","neg","sli_neg","sli_neg","neg","no","no","twice","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1235","6855af19630b2ad26789dc87add26f5ecedc9b8a6ea9d841e80d91dc64e6f023","1432158622","no","think_so","comprehensive","neither","neither","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1236","33dfbedb4c63e8b298af6bd0d739ea95111e2fa979d39273d844daca08517e06","1432158660","unsure","think_so","unsure","unconf","unconf","never","neutral","neutral","neutral","neutral","neutral","neutral","neutral","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","no","no","never","none","cost,other_users","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1237","b118290eda98c345810e5be91236a97110df3d1a5a08847421572d3afe6ab0ec","1432159391","yes_def","think_so","adequate","unconf","unconf","never","neutral","neg","sli_neg","neg","sli_neg","neutral","sli_neg","sli_neg","very_neg","neg","neg","sli_neg","sli_neg","very_neg","no","no","never","online_like_erowid,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,cost,avail,other_users","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1238","6c012699551b993561dd0f72a30ca475c42d4697cc6f0fc58e1c1839f89293d4","1432159625","yes_def","yes_def","inadequate","unconf","unconf","twice","neg","very_neg","sli_neg","neutral","neg","sli_neg","very_neg","neutral","neg","sli_neg","neutral","neg","neutral","neg","no","no","never","online_like_erowid,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,other_users,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"1239","d6c19a450951c8b8c7def416f5518aee3fa1655345a666f21da3f8d71fa4f71c","1432159915","yes_def","no","adequate","v_unconf","v_unconf","never","very_neg","very_neg","neutral","sli_neg","sli_neg","sli_neg","very_neg","very_neg","very_neg","neg","neg","very_neg","neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
