"resp","response_token","timestamp","p1q1","p1q2","p1q3","p1q4a","p1q4b","p1q5a","p1q5b","p1q6","p1q6a","p1q7","p1q7a","p1q7b","p1q8","p1q9","p1q10","p1q11","p1q12","p1q13","p1q14","p1q15","p1q16","p1q17a","p1q17b","p1q17c","p1q18a","p1q18b","p1q18c","p1q19","p1q20","p1q21","p1q22","p1q23","p1q24","p1q25","p1q26","p1q26a","p1q27","p1q27a","p1q27b","p1q28","p1q29","p1q30","p1q31","p1q32","p1q33","p1q34a","p1q34b","p1q34c","p1q35a","p1q35b","p1q35c","p1q36","p1q37","p1q37a","p1q38","p1q38a","p1q39","p1q40"
"1329","9223df1289ffd7a0a95457423749d080f3439236ac3dc746701356f94320388f","1432164379","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"1330","c9620a46c5a662099a0bee4b6fc4823a50c79fec3683d5c448264e6f88e936b5","1432164470","0","yes_def","yes","very_neg","sli_neg","sli_neg","neutral","no","NANS","yes","cigarette,hookah,ecig,with_marijauna,cigar","5_10_total","yes_def","5_7","5_7","3_4","11_13","about_same","adequate","yes","yes","neutral","sli_neg","neutral","sli_neg","neg","neutral","no","no","conf","conf","never","ge9","ge9","yes","17_18","yes","yes","2_5_per_week","no","yes_def","yes_def","strong_sup","strong_sup","yes","neutral","neutral","neutral","neutral","neutral","neutral","ge9","no","NANS","yes","not_past_12","no","no"
"1331","18e986669e7eee9b678f8de996bfaaabfa38dcb88f388f57cc15be244afc3cd7","1432164508","0","think_so","no","very_neg","neutral","sli_neg","neutral","no","NANS","no","NANS","NANS","yes_def","3_4","2","3_4","0","about_same","inadequate","no","no","very_neg","very_neg","sli_neg","neutral","neutral","slightly_pos","no","no","conf","conf","twice","ge9","ge9","no","NANS","no","NANS","NANS","no","no","no","neither","neither","no","very_neg","very_neg","very_neg","neutral","sli_neg","neg","never","no","NANS","no","NANS","no","no"
"1332","3261580f1eaf9070c17366612ac8ace86e0fc4340a4999b171320e25001d1c73","1432164624","0","no","no","very_neg","very_neg","neg","sli_neg","no","NANS","no","NANS","NANS","think_so","1","1","3_4","1_2","about_same","inadequate","yes","yes","neg","very_neg","neutral","sli_neg","sli_neg","neutral","no","no","unconf","unconf","never","6_8","6_8","yes","17_18","yes","yes","1_5_total","no","think_so","no","opp","strong_opp","no","neg","very_neg","very_neg","neutral","sli_neg","neg","never","no","NANS","no","NANS","no","no"
"1333","ae399d690d48ccdff6ce3cdf7512b4d2d1c9ef9de0ec9c612d2868b6bfa2e34a","1432164725","0","yes_def","no","neg","neutral","neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","2","2","3_4","1_2","about_same","comprehensive","yes","yes","sli_neg","sli_neg","neutral","sli_neg","sli_neg","neutral","no","no","conf","neither","twice","3_5","3_5","yes","17_18","yes","yes","1_per_2_weeks","no","yes_def","think_so","strong_sup","sup","unsure","neutral","neutral","sli_neg","neutral","sli_neg","sli_neg","3_5","no","NANS","yes","1_5_total","no","no"
"1334","18e52a52f1423b856d6e9216d9e0dffae5c2ea6dc5a0299abb26e1aabcf96264","1432164794","0","think_so","no","neg","neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","8_10","8_10","5_7","5_7","less","unsure","yes","yes","neutral","sli_neg","slightly_pos","sli_neg","sli_neg","pos","no","no","conf","neither","twice","ge9","ge9","yes","15_16","yes","yes","1_per_week","yes","yes_def","yes_def","sup","sup","unsure","neutral","neutral","neutral","sli_neg","neg","neg","ge9","no","NANS","no","NANS","no","no"
"1335","e6a76880fb031f4f693e7669cbed7cf90614a6eb754d0fd86677ed9427c0c69e","1432164988","0","no","no","very_neg","very_neg","sli_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","2","2","1_2","5_7","less","adequate","unsure","unsure","sli_neg","sli_neg","slightly_pos","neutral","neutral","neutral","no","no","conf","conf","never","twice","never","yes","17_18","yes","yes","1_per_month","no","yes_def","think_so","sup","neither","no","neutral","sli_neg","neg","neutral","neutral","neutral","once","no","NANS","no","NANS","no","no"
"1336","0ffeabacadd19812c7bde9c49c57c5d4d4be4ca5b85a95d8cdf85f90fa31480b","1432165002","0","yes_def","no","very_neg","neutral","neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","8_10","5_7","3_4","3_4","less","comprehensive","yes","yes","slightly_pos","sli_neg","ver_pos","pos","neutral","neutral","no","no","v_conf","v_conf","twice","ge9","6_8","yes","le10","yes","yes","1_per_week","no","yes_def","yes_def","strong_sup","sup","no","slightly_pos","slightly_pos","sli_neg","pos","neutral","neutral","ge9","no","NANS","yes","1_5_total","no","no"
"1337","a1fd92c788430ec1b441b325dd5e22589218f35b5ea8d0e38eb5ca5e7641e67e","1432165063","0","think_so","no","very_neg","very_neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","3_4","3_4","3_4","3_4","about_same","adequate","yes","yes","sli_neg","very_neg","pos","neutral","neg","neutral","no","no","conf","conf","once","twice","twice","yes","17_18","yes","yes","1_per_2_weeks","no","yes_def","think_so","neither","neither","no","neutral","neutral","neg","neutral","neutral","neutral","never","no","NANS","no","NANS","no","no"
"1338","a60aca116c3f822bb332348d5b01729181f553211f5141fbcd1ac0a9abb74abe","1432165210","0","think_so","no","very_neg","neg","sli_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","0","0","1_2","0","about_same","adequate","unsure","unsure","very_neg","very_neg","neutral","neg","sli_neg","slightly_pos","no","no","v_unconf","neither","never","twice","twice","no","NANS","yes","yes","not_past_12","no","think_so","think_so","strong_sup","strong_sup","no","neutral","neutral","neutral","slightly_pos","neutral","neutral","never","no","NANS","no","NANS","no","no"
"1339","27cfd717c473d20d14dc242fadd716fe594969e83c63ad85320c44d07a90f384","1432165339","0","no","no","very_neg","very_neg","very_neg","very_neg","no","NANS","yes","cigarette,hookah,with_marijauna","1_5_total","yes_def","2","2","3_4","3_4","about_same","comprehensive","yes","yes","sli_neg","very_neg","slightly_pos","neutral","very_neg","pos","no","no","conf","conf","twice","6_8","6_8","yes","17_18","yes","yes","1_per_month","no","yes_def","yes_def","strong_sup","strong_sup","yes","pos","pos","neutral","pos","neutral","neutral","6_8","yes","NANS","yes","5_10_total","no","no"
"1340","e1ede72cda37712aa4e73226528f79e79c7939913cb51e4ded3b1e907f892bea","1432165427","0","think_so","no","very_neg","very_neg","very_neg","neg","no","NANS","no","NANS","NANS","yes_def","2","2","5_7","5_7","less","adequate","yes","yes","neutral","neutral","neutral","sli_neg","sli_neg","neutral","no","no","conf","conf","3_5","ge9","ge9","yes","17_18","yes","yes","1_per_2_weeks","no","yes_def","yes_def","sup","sup","no","neutral","neutral","neg","slightly_pos","slightly_pos","neutral","6_8","no","NANS","no","NANS","no","no"
"1341","e45b83740d941c499cdb36d44fa15516a44880205ac5ef9d5edbc5776df06740","1432165479","0","yes_def","no","sli_neg","sli_neg","sli_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","3_4","3_4","5_7","5_7","about_same","adequate","yes","yes","neutral","neg","slightly_pos","neutral","sli_neg","neutral","no","no","conf","conf","3_5","never","ge9","no","NANS","yes","yes","1_per_2_weeks","no","yes_def","think_so","sup","neither","no","slightly_pos","neutral","sli_neg","neutral","neutral","neutral","3_5","no","NANS","yes","1_5_total","no","no"
"1342","5340fcd0e96e31c1a1904e664dec2787d27e600d701437a599fb5ea44c35f380","1432165528","0","yes_def","no","very_neg","very_neg","very_neg","neg","no","NANS","no","NANS","NANS","yes_def","1","1","1_2","0","more","inadequate","no","no","very_neg","very_neg","sli_neg","very_neg","neg","neutral","no","no","v_unconf","v_unconf","never","ge9","twice","no","NANS","no","NANS","NANS","no","yes_def","no","sup","sup","no","sli_neg","sli_neg","sli_neg","neutral","sli_neg","sli_neg","6_8","no","NANS","no","NANS","no","no"
"1343","a70a601f7a1065d4b32feab655fb0df30d85feb36337aa3ca3b3781276f37bcd","1432165545","2+","no","no","neg","sli_neg","neg","sli_neg","yes","ge18","yes","cigarette","1_5_total","yes_def","3_4","3_4","1_2","3_4","less","comprehensive","yes","yes","sli_neg","neg","slightly_pos","neg","very_neg","sli_neg","no","no","neither","neither","twice","6_8","3_5","no","17_18","yes","yes","1_per_2_weeks","no","yes_def","yes_def","strong_sup","strong_sup","yes","ver_pos","pos","neutral","neutral","sli_neg","neg","ge9","yes","NANS","yes","1_per_week","no","no"
"1344","1ade100a5d83149f2642b1ed8ebcabe03cf4ed5a63196df531af0612573f4671","1432165761","2+","yes_def","no","neutral","neutral","neg","neg","no","NANS","yes","cigarette,hookah,ecig,with_marijauna,cigar,pipe,chewing","1_per_month","yes_def","3_4","3_4","3_4","5_7","about_same","severly_inadequate","no","no","neutral","neutral","neutral","neutral","neutral","neutral","no","no","v_conf","unconf","never","ge9","ge9","no","NANS","yes","yes","5_10_total","no","yes_def","yes_def","strong_sup","strong_sup","no","neutral","neutral","neutral","neutral","neutral","neutral","3_5","no","NANS","yes","ge_1_per_day","y_mit_friends","no"
"1345","2c8f2ebfde06bef37c025fa6fd08551fe73c14f439cd8417ac246ad9c893085b","1432165980","0","think_so","no","sli_neg","sli_neg","sli_neg","sli_neg","yes","ge18","no","NANS","NANS","yes_def","2","11_13","5_7","5_7","much_less","unsure","yes","yes","neutral","sli_neg","neutral","neutral","sli_neg","neutral","no","no","conf","conf","never","ge9","3_5","yes","13_14","yes","yes","1_per_week","no","yes_def","yes_def","strong_sup","strong_sup","no","slightly_pos","neutral","neutral","neutral","neutral","neutral","3_5","no","NANS","yes","2_5_per_week","no","no"
"1346","c013d5f2efcc6671edf5c66471981de62779c93d00df9d63febea9de4407994d","1432166052","0","unsure","no","very_neg","neg","very_neg","neg","no","NANS","no","NANS","NANS","yes_def","0","0","1_2","1_2","about_same","adequate","unsure","unsure","sli_neg","sli_neg","neutral","neg","sli_neg","neutral","no","no","unconf","unconf","once","ge9","6_8","yes","le10","yes","yes","1_per_month","no","yes_def","unsure","sup","sup","unsure","pos","neutral","sli_neg","pos","pos","neutral","never","no","NANS","yes","not_past_12","no","no"
"1347","a3ff3be942ca0e4fb363ea26153a2c0d6e00344169cc68a30aa7b9e8deb0a790","1432166130","0","yes_def","no","very_neg","neg","sli_neg","neutral","no","NANS","no","NANS","NANS","unsure","0","0","3_4","0","about_same","inadequate","unsure","no","sli_neg","sli_neg","neutral","sli_neg","neutral","neutral","unsure","no","conf","conf","once","once","never","no","NANS","yes","no","1_5_total","no","unsure","unsure","neither","opp","no","neg","very_neg","very_neg","neutral","sli_neg","neg","never","no","NANS","no","NANS","no","no"
"1348","3fd729e5841465515d28fa60d26a6d3aa3306a267f122a598d6e14ec323035e6","1432166250","0","no","no","very_neg","neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","0","NANS","5_7","NANS","less","inadequate","no","no","very_neg","neg","sli_neg","neg","sli_neg","neutral","no","no","unconf","v_unconf","never","3_5","once","no","NANS","yes","yes","1_5_total","no","think_so","no","sup","neither","no","neg","neg","very_neg","neutral","sli_neg","neg","never","no","NANS","no","NANS","no","no"
"1349","4d9f70b3a14cbfb430af68768d9901d7e5be2325a4551e194a5c811a842e342f","1432166301","0","yes_def","no","very_neg","neg","neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","1","1","1_2","0","less","adequate","unsure","unsure","neg","very_neg","neutral","sli_neg","very_neg","neutral","no","no","unconf","unconf","once","6_8","6_8","yes","17_18","yes","yes","1_5_total","no","yes_def","think_so","neither","neither","no","neutral","sli_neg","neg","neutral","neutral","sli_neg","3_5","no","NANS","no","NANS","no","no"
"1350","42e3fa00ca90ca0485f06e714c60e679fa490c2e7b31d96dc4b9601d6a181d74","1432166466","0","yes_def","no","very_neg","neg","neutral","neutral","no","NANS","no","NANS","NANS","yes_def","0","0","1_2","0","about_same","inadequate","no","no","neg","neg","neutral","neutral","neutral","neutral","no","no","conf","conf","once","3_5","3_5","no","NANS","no","NANS","NANS","no","yes_def","unsure","neither","neither","no","slightly_pos","neutral","very_neg","neutral","neutral","neutral","once","no","NANS","no","NANS","no","no"
"1351","54b9421dbedb34ee3a83bab0e36a9d408e32c24c6385860818fd3a2ea10df2ca","1432166641","0","think_so","no","very_neg","very_neg","neg","neg","no","NANS","no","NANS","NANS","think_so","0","0","3_4","0","more","inadequate","no","no","very_neg","very_neg","sli_neg","neg","sli_neg","neutral","no","no","neither","neither","never","6_8","6_8","no","NANS","no","NANS","NANS","no","think_so","no","opp","neither","no","very_neg","very_neg","very_neg","sli_neg","neg","very_neg","once","no","NANS","no","NANS","no","no"
"1352","0c0013a97360746668ff184a91871b8cbe030fcb80239e59c255ec64030f2d3e","1432166753","0","no","no","very_neg","neg","very_neg","neg","no","NANS","no","NANS","NANS","unsure","0","0","3_4","0","about_same","adequate","no","no","very_neg","neg","neutral","sli_neg","sli_neg","slightly_pos","no","no","not_sure","unconf","never","never","never","no","NANS","yes","no","1_5_total","no","think_so","no","strong_sup","strong_sup","no","neutral","sli_neg","sli_neg","neutral","neutral","neutral","never","no","NANS","no","NANS","no","no"
"1353","ece2162846627c9c29ab28d8c049ec43d19473d706b56acd497b7e7695295311","1432166771","0","yes_def","no","very_neg","neg","very_neg","neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","1_2","much_less","adequate","yes","yes","neg","neg","neutral","sli_neg","neutral","pos","no","no","conf","conf","once","ge9","ge9","yes","17_18","yes","yes","5_10_total","no","yes_def","yes_def","opp","strong_opp","no","very_neg","very_neg","very_neg","pos","neutral","neutral","twice","no","NANS","no","NANS","no","no"
"1354","229c1d4329c87271564a81dec18e60d2692d4e315dbf923c9cb2cb88328a4a36","1432166786","0","think_so","no","very_neg","neg","neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","1","ge14","3_4","3_4","less","comprehensive","no","no","neutral","sli_neg","ver_pos","neutral","slightly_pos","ver_pos","no","no","conf","conf","once","ge9","ge9","no","NANS","yes","yes","1_per_month","no","yes_def","yes_def","sup","sup","no","neutral","sli_neg","very_neg","ver_pos","pos","slightly_pos","6_8","no","NANS","no","NANS","no","no"
"1355","518dc6189eccca4ec9c32526add861756069809011b25e5c865822f0e74b4d01","1432166840","2+","yes_def","no","neg","neutral","very_neg","sli_neg","no","NANS","yes","cigarette,hookah,ecig,with_marijauna,cigar,gum_lozenge,patches","1_5_total","yes_def","3_4","3_4","5_7","8_10","much_more","inadequate","yes","yes","neutral","sli_neg","neutral","neutral","neutral","neutral","no","no","v_conf","v_conf","twice","ge9","ge9","no","NANS","yes","yes","2_5_per_week","no","yes_def","yes_def","strong_sup","strong_sup","no","pos","slightly_pos","neutral","slightly_pos","neutral","sli_neg","ge9","no","NANS","yes","not_past_12","no","no"
"1356","4130260fa2c215a0a87ac27aaf1a25034cfeeda5257d744cb8e73fc9c828615f","1432166993","0","unsure","no","very_neg","very_neg","sli_neg","sli_neg","no","NANS","no","NANS","NANS","think_so","0","0","3_4","0","less","adequate","unsure","no","neg","neg","sli_neg","sli_neg","neutral","neutral","no","no","neither","conf","once","once","never","no","NANS","no","NANS","NANS","no","think_so","unsure","neither","neither","no","neg","neg","neg","NANS","sli_neg","sli_neg","never","no","NANS","no","NANS","no","no"
"1357","58eb09df3d7db7f76c2e852c24bfe318053364f9c93767410624247d32e39acb","1432167012","0","no","no","very_neg","very_neg","neg","neg","NANS","NANS","no","NANS","NANS","yes_def","2","2","1_2","1_2","less","inadequate","no","no","very_neg","very_neg","neutral","neg","slightly_pos","pos","no","no","conf","unconf","once","ge9","ge9","yes","17_18","yes","yes","5_10_total","no","yes_def","yes_def","neither","neither","no","sli_neg","neg","neg","slightly_pos","ver_pos","ver_pos","never","no","NANS","no","NANS","no","no"
"1358","d6c37fabb416e9b0e739672e326c13816c31fc82b8acaacbacbbc328b83affab","1432167072","0","think_so","no","neg","very_neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","1","0","3_4","0","about_same","adequate","no","no","very_neg","very_neg","neg","sli_neg","sli_neg","slightly_pos","no","no","neither","unconf","never","ge9","3_5","no","NANS","no","NANS","NANS","no","yes_def","no","neither","strong_opp","no","neg","very_neg","very_neg","neutral","neg","very_neg","never","no","NANS","no","NANS","no","no"
"1359","6293339b33ac81e8091db814464dd8a6ca2d4be2df05bae91d20b453e0470498","1432167267","0","yes_def","yes","very_neg","neg","neg","neg","yes","16_17","yes","cigarette,hookah,ecig,with_marijauna,cigar","1_5_total","yes_def","3_4","3_4","3_4","5_7","about_same","adequate","yes","yes","neutral","sli_neg","neutral","neutral","sli_neg","sli_neg","no","yes","neither","neither","once","6_8","3_5","yes","17_18","yes","yes","1_per_month","no","yes_def","yes_def","neither","neither","yes","slightly_pos","neutral","neg","pos","slightly_pos","sli_neg","3_5","yes","NANS","yes","NANS","no","no"
"1360","fd2654787bd213b2bf4cec500edd6efb429fcb1193c77d5ad94b160775ea9413","1432167492","0","yes_def","no","neg","sli_neg","sli_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","3_4","3_4","1_2","3_4","about_same","adequate","yes","no","neutral","sli_neg","slightly_pos","neutral","neutral","neutral","no","no","v_conf","conf","once","ge9","3_5","no","NANS","yes","yes","1_per_2_weeks","no","yes_def","yes_def","sup","neither","no","neutral","neutral","sli_neg","neutral","neutral","neutral","ge9","no","NANS","no","NANS","no","no"
"1361","c2bae1b0eae4f80fbde457f9d2a15e0637afd6ad247cc1be0d4c274aa6633555","1432167683","0","yes_def","no","very_neg","sli_neg","neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","3_4","3_4","3_4","8_10","much_less","adequate","yes","unsure","pos","sli_neg","ver_pos","neutral","very_neg","pos","no","no","v_conf","conf","twice","ge9","ge9","yes","17_18","yes","yes","2_5_per_week","no","yes_def","yes_def","sup","neither","no","pos","slightly_pos","neutral","slightly_pos","neutral","neutral","ge9","no","NANS","yes","1_per_month","no","no"
"1362","114b112da8a09c32fc75fbf77456c04836705b0c7781b73ec9ccc8e44a91e9c7","1432168178","0","no","no","very_neg","neg","neg","neg","no","NANS","no","NANS","NANS","think_so","0","0","3_4","1_2","about_same","adequate","yes","yes","neg","neg","neutral","sli_neg","sli_neg","slightly_pos","no","no","unconf","v_unconf","never","3_5","3_5","no","NANS","yes","yes","1_5_total","no","yes_def","unsure","neither","neither","no","neutral","neutral","sli_neg","neutral","neutral","neutral","never","no","NANS","no","NANS","no","no"
"1363","77ef07cb075ec770e48a0bc484efe542b63a12b007356c641ff78478bb893ab4","1432168407","0","think_so","no","very_neg","neg","very_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","5_7","3_4","3_4","3_4","less","adequate","yes","no","sli_neg","neutral","slightly_pos","sli_neg","neutral","neutral","no","no","conf","conf","once","twice","twice","no","NANS","yes","no","5_10_total","no","yes_def","no","sup","sup","no","neutral","neutral","neutral","neutral","neutral","neutral","once","no","NANS","no","NANS","no","no"
"1364","67fcaece94ba21850119c92aaf3cbc9110610f2751ad7883ef31eda2665c3db9","1432168597","0","no","no","very_neg","very_neg","neg","neg","yes","16_17","no","NANS","NANS","think_so","1","1","1_2","0","much_less","adequate","no","no","very_neg","very_neg","very_neg","neg","neg","neg","no","no","conf","conf","twice","3_5","3_5","yes","17_18","no","NANS","NANS","no","no","no","neither","neither","no","neg","neg","neg","sli_neg","sli_neg","sli_neg","never","no","NANS","no","NANS","no","no"
"1365","e1ad9a4da816587b8380a34bb87bffe10be6790189ca455de439dee1a3cb4ef2","1432168804","0","yes_def","no","very_neg","sli_neg","neg","neutral","no","NANS","no","NANS","NANS","yes_def","2","2","1_2","0","about_same","adequate","no","no","very_neg","neg","neutral","neg","sli_neg","neutral","no","no","unconf","unconf","once","ge9","ge9","no","NANS","no","NANS","NANS","no","yes_def","yes_def","neither","opp","no","neutral","sli_neg","neg","neutral","neutral","neg","never","no","NANS","no","NANS","no","no"
"1366","60ae992ddbedfe24b4089ad396b71d10dae2c4ade0248d4fa0c60cffac08ddf7","1432169055","0","think_so","no","neg","neutral","neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","3_4","3_4","5_7","5_7","much_less","adequate","unsure","unsure","pos","pos","ver_pos","neutral","sli_neg","pos","no","no","conf","conf","3_5","3_5","never","no","NANS","yes","yes","1_per_week","no","yes_def","yes_def","neither","neither","no","neutral","sli_neg","neg","neutral","neutral","neg","3_5","no","NANS","no","NANS","no","no"
"1367","42352532f70687e0eb7cb4c0cfd0cbd10d2997119d7e4ae7faf8ffa61e79fb2a","1432169119","0","unsure","no","very_neg","very_neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","0","0","3_4","0","more","unsure","no","no","very_neg","very_neg","very_neg","very_neg","neutral","neutral","no","no","unconf","unconf","never","never","never","no","NANS","no","NANS","NANS","no","unsure","no","opp","opp","no","very_neg","very_neg","very_neg","sli_neg","neg","very_neg","NANS","no","NANS","no","NANS","no","no"
"1368","08145fa15b223572233885ff6bf3d70d6cf1a944068583e9bf69999535b09d55","1432169384","0","yes_def","no","very_neg","neg","neg","slightly_pos","no","NANS","no","NANS","NANS","yes_def","3_4","3_4","5_7","5_7","less","comprehensive","unsure","yes","neutral","neg","neutral","sli_neg","neg","ver_pos","no","no","conf","conf","never","ge9","ge9","no","NANS","yes","yes","1_per_2_weeks","no","yes_def","yes_def","sup","sup","unsure","neutral","neutral","neg","pos","pos","sli_neg","6_8","no","NANS","yes","1_5_total","no","no"
"1369","9840846450618b297c8af612d5f67a99fd6f5ca0f54ffa809471d8937e924017","1432169939","0","no","no","very_neg","very_neg","neutral","neutral","no","NANS","no","NANS","NANS","yes_def","5_7","5_7","5_7","0","less","unsure","no","no","neutral","neutral","neutral","sli_neg","slightly_pos","slightly_pos","unsure","no","conf","conf","twice","6_8","6_8","no","19_20","yes","yes","1_5_total","no","think_so","think_so","neither","neither","no","sli_neg","neg","very_neg","slightly_pos","neutral","neutral","never","no","NANS","no","NANS","no","no"
"1370","b34a7326d4c632cb3458b7e8e07828461dbb31b801413e43f64656a09479a679","1432169950","0","unsure","unsure","neg","very_neg","very_neg","very_neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","3_4","about_same","adequate","yes","yes","sli_neg","very_neg","neutral","neutral","sli_neg","neutral","no","no","conf","neither","once","once","once","no","NANS","yes","yes","1_per_2_weeks","no","yes_def","unsure","sup","neither","yes","neutral","neutral","sli_neg","neutral","neutral","sli_neg","never","no","NANS","no","NANS","no","no"
"1371","96a2925227a3fe0a00e6efa1b196bec563396a3175757a6d610d64bdb9987693","1432170570","0","yes_def","no","neg","neg","sli_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","2","2","3_4","0","less","comprehensive","yes","no","very_neg","neutral","slightly_pos","neg","neutral","slightly_pos","no","NANS","conf","conf","twice","ge9","ge9","no","NANS","yes","yes","1_per_2_weeks","no","yes_def","yes_def","neither","strong_opp","no","neutral","neg","very_neg","neutral","neutral","neutral","twice","no","NANS","no","NANS","no","no"
"1372","de27ccd3c4367ac4cef23e972dd342610a578a8fa2070c66946fc461191b2155","1432171108","0","yes_def","unsure","very_neg","pos","neg","neutral","no","NANS","no","NANS","NANS","unsure","3_4","3_4","3_4","0","about_same","adequate","unsure","unsure","neg","pos","pos","slightly_pos","pos","sli_neg","unsure","no","unconf","unconf","never","never","never","no","NANS","no","NANS","NANS","no","think_so","think_so","neither","neither","no","neutral","neutral","neutral","slightly_pos","slightly_pos","sli_neg","once","no","NANS","no","NANS","no","no"
"1373","00345938c6f58eedd12a7721a4a97a6eb04a51e2e0a369d1c85783560219aa68","1432171223","0","no","no","very_neg","neutral","neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","1","0","3_4","0","less","unsure","no","no","very_neg","very_neg","sli_neg","very_neg","neg","neutral","no","no","unconf","unconf","never","twice","once","no","NANS","no","NANS","NANS","no","think_so","no","neither","opp","no","neg","neg","very_neg","neutral","neutral","sli_neg","never","no","NANS","no","NANS","no","no"
"1374","2e617c5d2267a1040f457f30a6672d689d44f9e2e43aa8e9a53ecdf6be518c5f","1432171531","1","yes_def","yes","sli_neg","neutral","very_neg","neg","yes","14_15","yes","cigarette,hookah,ecig,with_marijauna,cigar,pipe,snus,other_smokeless","ge_1_per_day","yes_def","3_4","3_4","1_2","5_7","much_less","adequate","yes","yes","neutral","neg","pos","very_neg","very_neg","neutral","no","no","conf","neither","once","twice","twice","yes","15_16","yes","yes","1_per_week","no","yes_def","yes_def","strong_sup","sup","yes","neutral","neutral","sli_neg","neg","very_neg","very_neg","ge9","yes","NANS","yes","2_5_per_week","no","no"
"1375","e6c4db326a50216ffb4e1185d14067b3dcff49546ed68a165f5e8d36b6620511","1432171620","0","yes_def","no","sli_neg","neutral","sli_neg","neutral","no","NANS","no","NANS","NANS","yes_def","3_4","3_4","3_4","0","about_same","comprehensive","no","no","sli_neg","neutral","neutral","neutral","neutral","neutral","no","no","conf","neither","never","ge9","ge9","no","NANS","yes","yes","1_5_total","no","yes_def","yes_def","sup","sup","no","pos","neutral","sli_neg","slightly_pos","neutral","neutral","3_5","no","NANS","no","NANS","no","no"
"1376","aca8d94c9c44a1594f9dcf7e7d471091ccfcdc4f89ba8ca917cc6af51f324882","1432171840","0","no","no","very_neg","very_neg","very_neg","very_neg","no","NANS","no","NANS","NANS","think_so","0","0","0","0","about_same","unsure","no","no","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","no","no","conf","conf","once","once","once","no","NANS","no","NANS","NANS","no","no","no","neither","opp","no","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","never","no","NANS","no","NANS","no","no"
"1377","6fa9761a2401a4836cc0f6728a7ea60feffc6276c12e4f0249524a4f772ec7b3","1432172413","0","yes_def","no","neutral","neutral","neg","neg","no","NANS","yes","cigarette,hookah,ecig,with_marijauna,cigar","1_per_week","yes_def","5_7","5_7","1_2","3_4","about_same","adequate","no","no","neutral","neutral","neutral","sli_neg","neg","neutral","no","no","conf","v_conf","never","never","never","no","NANS","yes","yes","2_5_per_week","no","yes_def","yes_def","strong_sup","strong_sup","no","ver_pos","ver_pos","neutral","neutral","sli_neg","neg","3_5","no","NANS","yes","1_per_2_weeks","y_mit_friends","no"
"1378","30587a64fa716b961ab494c083b393bb73baf014e12218035b91c04d99dab65a","1432172511","0","yes_def","no","very_neg","neg","sli_neg","neutral","no","NANS","no","NANS","NANS","yes_def","0","0","1_2","0","less","adequate","no","no","very_neg","neg","sli_neg","neg","sli_neg","pos","no","no","unconf","unconf","never","3_5","3_5","no","NANS","no","NANS","NANS","no","yes_def","yes_def","strong_sup","neither","no","sli_neg","neg","very_neg","pos","neutral","sli_neg","never","no","NANS","no","NANS","no","no"
"1379","71c8921e64075a43d83f9e1e0055ad6c1be3174d54ce324810eb997790e542d6","1432172835","1","yes_def","no","neg","neutral","sli_neg","slightly_pos","no","NANS","yes","cigarette,hookah,ecig,with_marijauna,cigar","1_5_total","yes_def","8_10","8_10","5_7","8_10","much_less","inadequate","yes","yes","pos","sli_neg","ver_pos","sli_neg","very_neg","ver_pos","yes_def","yes","v_conf","conf","6_8","ge9","ge9","yes","13_14","yes","yes","2_5_per_week","no","yes_def","yes_def","strong_sup","strong_sup","no","ver_pos","ver_pos","ver_pos","ver_pos","ver_pos","ver_pos","ge9","no","NANS","yes","1_per_2_weeks","no","no"
